"country / region","disease","year","cases"
"United States of America","Measles",2024,NA
"United States of America","Measles",2023,121
"United States of America","Measles",2022,NA
"United States of America","Measles",2021,14
"United States of America","Measles",2020,1275
"United States of America","Measles",2019,NA
"United States of America","Measles",2018,375
"United States of America","Measles",2017,120
"United States of America","Measles",2016,85
"United States of America","Measles",2015,188
"United States of America","Measles",2014,667
"United States of America","Measles",2013,187
"United States of America","Measles",2012,55
"United States of America","Measles",2011,220
"United States of America","Measles",2010,63
"United States of America","Measles",2009,71
"United States of America","Measles",2008,140
"United States of America","Measles",2007,43
"United States of America","Measles",2006,55
"United States of America","Measles",2005,66
"United States of America","Measles",2004,37
"United States of America","Measles",2003,56
"United States of America","Measles",2002,41
"United States of America","Measles",2001,116
"United States of America","Measles",2000,85
"United States of America","Measles",1999,100
"United States of America","Measles",1998,100
"United States of America","Measles",1997,138
"United States of America","Measles",1996,489
"United States of America","Measles",1995,309
"United States of America","Measles",1994,958
"United States of America","Measles",1993,312
"United States of America","Measles",1992,2231
"United States of America","Measles",1991,9643
"United States of America","Measles",1990,27786
"United States of America","Measles",1989,18193
"United States of America","Measles",1988,3396
"United States of America","Measles",1987,3655
"United States of America","Measles",1986,6282
"United States of America","Measles",1985,2822
"United States of America","Measles",1984,2587
"United States of America","Measles",1983,1497
"United States of America","Measles",1982,1714
"United States of America","Measles",1981,3124
"United States of America","Measles",1980,13506
"United States of America","Mumps",2024,NA
"United States of America","Mumps",2023,386
"United States of America","Mumps",2022,191
"United States of America","Mumps",2021,694
"United States of America","Mumps",2020,3780
"United States of America","Mumps",2019,NA
"United States of America","Mumps",2018,2515
"United States of America","Mumps",2017,6109
"United States of America","Mumps",2016,6369
"United States of America","Mumps",2015,1308
"United States of America","Mumps",2014,1223
"United States of America","Mumps",2013,584
"United States of America","Mumps",2012,229
"United States of America","Mumps",2011,386
"United States of America","Mumps",2010,2612
"United States of America","Mumps",2009,1991
"United States of America","Mumps",2008,451
"United States of America","Mumps",2007,800
"United States of America","Mumps",2006,6339
"United States of America","Mumps",2005,NA
"United States of America","Mumps",2004,258
"United States of America","Mumps",2003,197
"United States of America","Mumps",2002,238
"United States of America","Mumps",2001,231
"United States of America","Mumps",2000,323
"United States of America","Mumps",1999,NA
"United States of America","Mumps",1998,NA
"United States of America","Mumps",1997,NA
"United States of America","Mumps",1996,NA
"United States of America","Mumps",1995,NA
"United States of America","Mumps",1994,NA
"United States of America","Mumps",1993,NA
"United States of America","Mumps",1992,NA
"United States of America","Mumps",1991,NA
"United States of America","Mumps",1990,NA
"United States of America","Mumps",1989,NA
"United States of America","Mumps",1988,NA
"United States of America","Mumps",1987,NA
"United States of America","Mumps",1986,NA
"United States of America","Mumps",1985,NA
"United States of America","Mumps",1984,NA
"United States of America","Mumps",1983,NA
"United States of America","Mumps",1982,NA
"United States of America","Mumps",1981,NA
"United States of America","Mumps",1980,NA
